Title,Year,Score,Adjusted Score,Rank,Consensus,Directors,Cast,Synopsis
Revenge,2017,93,99.773,129,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin.",Coralie Fargeat,"Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",Jen is enjoying a romantic getaway with her wealthy boyfriend -- until his two sleazy friends arrive for an unannounced...
El Mariachi,1992,91,96.215,128,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable.",Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt",El Mariachi (Carlos Gallardo) is a traveling guitar player with the modest desire to play music for a living. Looking...
A Touch of Zen,1971,97,98.39,127,"A brilliantly directed feast for the eyes with an epic story to match, A Touch of Zen marks a groundbreaking achievement in the wuxia genre.",King Hu,"Feng Hsu, Chun Shih, Pai Ying, Roy Chiao","Ku Shen Chai (Chun Shih), an unmotivated artist in his early 30s, still lives with his mother, but he is..."
Top Gun,1986,57,63.042,126,"Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air.",Tony Scott,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer",The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying...
Con Air,1997,55,57.649,125,"Con Air won't win any awards for believability - and all involved seem cheerfully aware of it, making some of this blockbuster action outing's biggest flaws fairly easy to forgive.",Simon West,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi","Just-paroled army ranger Cameron Poe (Nicolas Cage) is headed back to his wife (Monica Potter), but must fly home aboard..."
The Expendables 2,2012,67,72.406,124,"Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse.",Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren","Mercenary leader Barney Ross (Sylvester Stallone), Lee Christmas (Jason Statham) and the rest of the Expendables team reunite when Mr...."
The Mummy,1999,61,65.059,123,"It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch.",Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo","The Mummy is a rousing, suspenseful and horrifying epic about an expedition of treasure-seeking explorers in the Sahara Desert in..."
Mr. & Mrs. Smith,2005,60,68.278,122,"Although this action-romance suffers from weak writing and one too many explosions, the chemistry generated by onscreen couple Pitt and Jolie is palpable enough to make this a thoroughly enjoyable summer action flick.",Doug Liman,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody","John (Brad Pitt) and Jane Smith (Angelina Jolie), a couple in a stagnating marriage, live a deceptively mundane existence. However,..."
Rush Hour,1998,61,63.5,121,A kick-ass addition to the cop-buddy film genre.,Brett Ratner,"Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth Peña","When a Chinese diplomat's daughter is kidnapped in Los Angeles, he calls in Hong Kong Detective Inspector Lee (Jackie Chan)..."
The Equalizer,2014,60,67.734,120,"The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers.",Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour","Robert McCall (Denzel Washington), a man of mysterious origin who believes he has put the past behind him, dedicates himself..."
Captain America: Civil War,2016,90,118.222,119,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,Anthony Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The...
Air Force One,1997,78,80.156,118,"This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills.",Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson","After making a speech in Moscow vowing to never negotiate with terrorists, President James Marshall (Harrison Ford) boards Air Force..."
Bloodsport,1988,46,46.393,117,"This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling.",Newt Arnold,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton","U.S. soldier Frank Dux (Jean-Claude Van Damme) has come to Hong Kong to be accepted into the Kumite, a highly..."
Blade,1998,57,62.507,116,"Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.",Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright","A half-mortal, half-immortal is out to avenge his mother's death and rid the world of vampires. The modern-day technologically advanced..."
Bad Boys,1995,42,45.929,115,"Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story.",Michael Bay,"Martin Lawrence, Will Smith, Tea Leoni, Tcheky Karyo",Miami-Dade detectives Mike Lowrey (Will Smith) and Marcus Burnett (Martin Lawrence) blow a fuse when $100 million worth of heroin...
Die Hard With a Vengeance,1995,59,63.85,114,"Die Hard with a Vengeance benefits from Bruce Willis and Samuel L. Jackson's barbed interplay, but clatters to a bombastic finish in a vain effort to cover for an overall lack of fresh ideas.",John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene","Detective John McClane (Bruce Willis) is now divorced, alcoholic and jobless after getting fired for his reckless behavior and bad..."
